university_rank,university_name
1,University of Pennsylvania
2,Northwestern University
3,New York University
4,Carnegie Mellon University
5,University of Delaware
6,University of Texas at Austin
7,University of Washington
8,Indiana University Bloomington
9,Northeastern University
10,Arizona State University
11,"Texas A&M; University, College Station"
12,Pennsylvania State University
13,University of Arizona
14,"University of Minnesota, Twin Cities"
15,Rutgers University-New Brunswick
16,"Rutgers University, Newark"
17,Boston University
18,Iowa State University
19,Drexel University
20,"University of California, Los Angeles"
21,Stevens Institute of Technology
22,"University of California, Irvine"
23,University at Buffalo SUNY
24,Syracuse University
25,Rochester Institute of Technology
26,"University of Maryland, College Park"
27,University of Cincinnati
28,University of Texas at Dallas
29,University of North Carolina at Charlotte
30,University of Illinois at Chicago
31,University of Florida
32,University of Utah
33,Illinois Institute of Technology
34,Santa Clara University
35,University of Texas at Arlington
36,Worcester Polytechnic Institute
37,Rensselaer Polytechnic Institute
